Chromosome,Arm,Band,Abnormality,MorphName,Morph,TopoName,Topo,CaseCount,Gene,Type
14,p,11,add(14)(p11),Acute myelomonocytic leukemia (FAB type M4),1107,,,3,,U
14,p,11,add(14)(p11),Acute erythroleukemia (FAB type M6),1112,,,8,,U
14,p,11,add(14)(p11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
14,p,12,add(14)(p12),Acute myelomonocytic leukemia (FAB type M4),1107,,,2,,U
14,p,13,add(14)(p13),"Acute myeloid leukemia, NOS",1101,,,2,,U
14,q,11,add(14)(q11),"Acute myeloid leukemia, NOS",1101,,,6,,U
14,q,22,add(14)(q22),"Acute myeloid leukemia, NOS",1101,,,4,,U
14,q,24,add(14)(q24),"Acute myeloid leukemia, NOS",1101,,,7,,U
14,q,24,add(14)(q24),Acute erythroleukemia (FAB type M6),1112,,,3,,U
14,q,32,add(14)(q32),"Acute myeloid leukemia, NOS",1101,,,23,,U
14,q,32,add(14)(q32),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
14,q,32,add(14)(q32),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,7,,U
14,q,32,add(14)(q32),Acute myelomonocytic leukemia (FAB type M4),1107,,,7,,U
14,q,32,add(14)(q32),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
15,p,11,add(15)(p11),"Acute myeloid leukemia, NOS",1101,,,30,,U
15,p,11,add(15)(p11),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,2,,U
15,p,11,add(15)(p11),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,4,,U
15,p,11,add(15)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,4,,U
15,p,11,add(15)(p11),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
15,p,11,add(15)(p11),Acute erythroleukemia (FAB type M6),1112,,,4,,U
15,p,11,add(15)(p11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,4,,U
15,p,13,add(15)(p13),"Acute myeloid leukemia, NOS",1101,,,4,,U
15,q,11,add(15)(q11),"Acute myeloid leukemia, NOS",1101,,,2,,U
15,q,15,add(15)(q15),"Acute myeloid leukemia, NOS",1101,,,5,,U
15,q,21,add(15)(q21),"Acute myeloid leukemia, NOS",1101,,,2,,U
15,q,21,add(15)(q21),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
15,q,22,add(15)(q22),"Acute myeloid leukemia, NOS",1101,,,7,,U
15,q,22,add(15)(q22),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,2,,U
15,q,22,add(15)(q22),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
15,q,23,add(15)(q23),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
15,q,24,add(15)(q24),"Acute myeloid leukemia, NOS",1101,,,2,,U
15,q,24,add(15)(q24),Acute myelomonocytic leukemia (FAB type M4),1107,,,2,,U
15,q,26,add(15)(q26),"Acute myeloid leukemia, NOS",1101,,,7,,U
15,q,26,add(15)(q26),Acute myelomonocytic leukemia (FAB type M4),1107,,,3,,U
16,p,11,add(16)(p11),"Acute myeloid leukemia, NOS",1101,,,13,,U
16,p,11,add(16)(p11),Acute erythroleukemia (FAB type M6),1112,,,3,,U
16,p,12,add(16)(p12),"Acute myeloid leukemia, NOS",1101,,,2,,U
16,p,12,add(16)(p12),Acute erythroleukemia (FAB type M6),1112,,,2,,U
16,p,13,add(16)(p13),"Acute myeloid leukemia, NOS",1101,,,33,,U
16,p,13,add(16)(p13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
16,p,13,add(16)(p13),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,4,,U
16,p,13,add(16)(p13),Acute promyelocytic leukemia (FAB type M3),1106,,,3,,U
16,p,13,add(16)(p13),Acute myelomonocytic leukemia (FAB type M4),1107,,,4,,U
16,p,13,add(16)(p13),Acute monoblastic leukemia with differentiation (FAB type M5b),1110,,,2,,U
16,p,13,add(16)(p13),Acute erythroleukemia (FAB type M6),1112,,,7,,U
16,p,13,add(16)(p13),Acute megakaryoblastic leukemia (FAB type M7),1113,,,9,,U
16,q,11,add(16)(q11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
16,q,12,add(16)(q12),"Acute myeloid leukemia, NOS",1101,,,5,,U
16,q,12,add(16)(q12),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
16,q,13,add(16)(q13),"Acute myeloid leukemia, NOS",1101,,,5,,U
16,q,13,add(16)(q13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
16,q,13,add(16)(q13),Acute erythroleukemia (FAB type M6),1112,,,2,,U
16,q,22,add(16)(q22),"Acute myeloid leukemia, NOS",1101,,,13,,U
16,q,22,add(16)(q22),Acute myelomonocytic leukemia (FAB type M4),1107,,,4,,U
16,q,22,add(16)(q22),Acute erythroleukemia (FAB type M6),1112,,,4,,U
16,q,23,add(16)(q23),"Acute myeloid leukemia, NOS",1101,,,2,,U
16,q,24,add(16)(q24),"Acute myeloid leukemia, NOS",1101,,,17,,U
16,q,24,add(16)(q24),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
16,q,24,add(16)(q24),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
16,q,24,add(16)(q24),Acute erythroleukemia (FAB type M6),1112,,,4,,U
16,q,24,add(16)(q24),Acute megakaryoblastic leukemia (FAB type M7),1113,,,5,,U
17,p,11,add(17)(p11),"Acute myeloid leukemia, NOS",1101,,,83,,U
17,p,11,add(17)(p11),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,5,,U
17,p,11,add(17)(p11),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,8,,U
17,p,11,add(17)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,20,,U
17,p,11,add(17)(p11),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
17,p,11,add(17)(p11),Acute myelomonocytic leukemia (FAB type M4),1107,,,6,,U
17,p,11,add(17)(p11),Acute monoblastic leukemia (FAB type M5),1108,,,4,,U
17,p,11,add(17)(p11),Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,2,,U
17,p,11,add(17)(p11),Acute erythroleukemia (FAB type M6),1112,,,7,,U
17,p,11,add(17)(p11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,9,,U
17,p,12,add(17)(p12),"Acute myeloid leukemia, NOS",1101,,,9,,U
17,p,12,add(17)(p12),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
17,p,12,add(17)(p12),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,4,,U
17,p,12,add(17)(p12),Acute erythroleukemia (FAB type M6),1112,,,2,,U
17,p,13,add(17)(p13),"Acute myeloid leukemia, NOS",1101,,,48,,U
17,p,13,add(17)(p13),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,3,,U
17,p,13,add(17)(p13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,7,,U
17,p,13,add(17)(p13),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,14,,U
17,p,13,add(17)(p13),Acute promyelocytic leukemia (FAB type M3),1106,,,4,,U
17,p,13,add(17)(p13),Acute myelomonocytic leukemia (FAB type M4),1107,,,8,,U
17,p,13,add(17)(p13),Acute monoblastic leukemia (FAB type M5),1108,,,7,,U
17,p,13,add(17)(p13),Acute monoblastic leukemia with differentiation (FAB type M5b),1110,,,2,,U
17,p,13,add(17)(p13),Acute erythroleukemia (FAB type M6),1112,,,7,,U
17,q,11,add(17)(q11),"Acute myeloid leukemia, NOS",1101,,,2,,U
17,q,11,add(17)(q11),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
17,q,12,add(17)(q12),Acute promyelocytic leukemia (FAB type M3),1106,,,3,,U
17,q,21,add(17)(q21),"Acute myeloid leukemia, NOS",1101,,,3,,U
17,q,21,add(17)(q21),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,3,,U
17,q,21,add(17)(q21),Acute promyelocytic leukemia (FAB type M3),1106,,,5,,U
17,q,21,add(17)(q21),Acute erythroleukemia (FAB type M6),1112,,,2,,U
17,q,22,add(17)(q22),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,2,,U
17,q,23,add(17)(q23),"Acute myeloid leukemia, NOS",1101,,,9,,U
17,q,23,add(17)(q23),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
17,q,25,add(17)(q25),"Acute myeloid leukemia, NOS",1101,,,10,,U
17,q,25,add(17)(q25),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,2,,U
17,q,25,add(17)(q25),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,4,,U
17,q,25,add(17)(q25),Acute myelomonocytic leukemia (FAB type M4),1107,,,2,,U
17,q,25,add(17)(q25),Acute erythroleukemia (FAB type M6),1112,,,5,,U
17,q,25,add(17)(q25),Acute megakaryoblastic leukemia (FAB type M7),1113,,,5,,U
18,p,11,add(18)(p11),"Acute myeloid leukemia, NOS",1101,,,25,,U
18,p,11,add(18)(p11),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,4,,U
18,p,11,add(18)(p11),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,4,,U
18,p,11,add(18)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,11,,U
18,p,11,add(18)(p11),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
18,p,11,add(18)(p11),Acute myelomonocytic leukemia (FAB type M4),1107,,,7,,U
18,p,11,add(18)(p11),Acute erythroleukemia (FAB type M6),1112,,,3,,U
18,p,11,add(18)(p11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,7,,U
18,q,21,add(18)(q21),"Acute myeloid leukemia, NOS",1101,,,9,,U
18,q,21,add(18)(q21),Acute myelomonocytic leukemia (FAB type M4),1107,,,2,,U
18,q,21,add(18)(q21),Acute erythroleukemia (FAB type M6),1112,,,2,,U
18,q,22,add(18)(q22),"Acute myeloid leukemia, NOS",1101,,,3,,U
18,q,23,add(18)(q23),"Acute myeloid leukemia, NOS",1101,,,10,,U
18,q,23,add(18)(q23),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
18,q,23,add(18)(q23),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
18,q,23,add(18)(q23),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
18,q,23,add(18)(q23),Acute myelomonocytic leukemia (FAB type M4),1107,,,3,,U
18,q,23,add(18)(q23),Acute monoblastic leukemia (FAB type M5),1108,,,3,,U
18,q,23,add(18)(q23),Acute erythroleukemia (FAB type M6),1112,,,5,,U
18,q,23,add(18)(q23),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
19,p,11,add(19)(p11),"Acute myeloid leukemia, NOS",1101,,,2,,U
19,p,13,add(19)(p13),"Acute myeloid leukemia, NOS",1101,,,63,,U
19,p,13,add(19)(p13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,7,,U
19,p,13,add(19)(p13),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,4,,U
19,p,13,add(19)(p13),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
19,p,13,add(19)(p13),Acute myelomonocytic leukemia (FAB type M4),1107,,,3,,U
19,p,13,add(19)(p13),Acute monoblastic leukemia (FAB type M5),1108,,,5,,U
19,p,13,add(19)(p13),Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,3,,U
19,p,13,add(19)(p13),Acute erythroleukemia (FAB type M6),1112,,,19,,U
19,p,13,add(19)(p13),Acute megakaryoblastic leukemia (FAB type M7),1113,,,13,,U
19,p,13,add(19)(p13)oradd(19)(q13),"Acute myeloid leukemia, NOS",1101,,,2,,U
19,q,13,add(19)(p13)oradd(19)(q13),"Acute myeloid leukemia, NOS",1101,,,2,,U
19,q,11,add(19)(q11),"Acute myeloid leukemia, NOS",1101,,,2,,U
19,q,12,add(19)(q12),"Acute myeloid leukemia, NOS",1101,,,2,,U
19,q,13,add(19)(q13),"Acute myeloid leukemia, NOS",1101,,,42,,U
19,q,13,add(19)(q13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,5,,U
19,q,13,add(19)(q13),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,5,,U
19,q,13,add(19)(q13),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
19,q,13,add(19)(q13),Acute erythroleukemia (FAB type M6),1112,,,6,,U
19,q,13,add(19)(q13),Acute megakaryoblastic leukemia (FAB type M7),1113,,,5,,U
2,p,11,add(2)(p11),"Acute myeloid leukemia, NOS",1101,,,5,,U
2,p,11,add(2)(p11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
2,p,13,add(2)(p13),"Acute myeloid leukemia, NOS",1101,,,8,,U
2,p,13,add(2)(p13),Acute erythroleukemia (FAB type M6),1112,,,2,,U
2,p,21,add(2)(p21),"Acute myeloid leukemia, NOS",1101,,,5,,U
2,p,21,add(2)(p21),Acute erythroleukemia (FAB type M6),1112,,,2,,U
2,p,22,add(2)(p22),"Acute myeloid leukemia, NOS",1101,,,2,,U
2,p,23,add(2)(p23),"Acute myeloid leukemia, NOS",1101,,,6,,U
2,p,23,add(2)(p23),Acute myelomonocytic leukemia (FAB type M4),1107,,,3,,U
2,p,23,add(2)(p23),Acute erythroleukemia (FAB type M6),1112,,,3,,U
